157_frequency_organize_shelves,frequency,percentage,cumulative_perc
--,75,0.43859649122807015,0.43859649122807015
Semanalmente,40,0.23391812865497075,0.672514619883041
Diariamente,32,0.1871345029239766,0.8596491228070176
Nunca,8,0.04678362573099415,0.9064327485380117
Mensualmente,7,0.04093567251461988,0.9473684210526316
Quincenalmente,5,0.029239766081871343,0.9766081871345029
Anualmente,2,0.011695906432748537,0.9883040935672515
Semestralmente,1,0.005847953216374269,0.9941520467836258
No se tiene,1,0.005847953216374269,1.0
